Name,URL,Longitude,Latitude,Country
Melibokus Startplatz,https://service.dhv.de/db2/details.php?qi=glp_details&popup=1&item=267,8.635734,49.725291,DE
Heidelsheimer Weg Startplatz,https://service.dhv.de/db2/details.php?qi=glp_details&popup=1&item=268,8.694305,49.112310,DE
Orensberg Startplatz,https://service.dhv.de/db2/details.php?qi=glp_details&popup=1&item=277,8.026333,49.240450,DE
Spitzfelsen Startplatz,https://service.dhv.de/db2/details.php?qi=glp_details&popup=1&item=278,8.202233,48.293004,DE
Prinzbach Startplatz,https://service.dhv.de/db2/details.php?qi=glp_details&popup=1&item=279,8.009012,48.329721,DE
Kohleckle Berghaupten Startplatz,https://service.dhv.de/db2/details.php?qi=glp_details&popup=1&item=280,7.966386,48.413621,DE
Lauf Startplatz,https://service.dhv.de/db2/details.php?qi=glp_details&popup=1&item=281,8.162649,48.625080,DE
Hornisgrinde - Katzenkopf Startplatz,https://service.dhv.de/db2/details.php?qi=glp_details&popup=1&item=282,8.196231,48.596920,DE
Eichberg/Stutz Startplatz,https://service.dhv.de/db2/details.php?qi=glp_details&popup=1&item=283,8.514347,47.848219,DE
Dreifaltigkeitsberg Startplatz,https://service.dhv.de/db2/details.php?qi=glp_details&popup=1&item=284,8.760138,48.083921,DE
Balgheim Startplatz,https://service.dhv.de/db2/details.php?qi=glp_details&popup=1&item=285,8.782024,48.066063,DE
Fürstenberg Startplatz Süd,https://service.dhv.de/db2/details.php?qi=glp_details&popup=1&item=286,8.562684,47.889327,DE
Breitnau Startplatz Branden,https://service.dhv.de/db2/details.php?qi=glp_details&popup=1&item=288,7.833658,47.869761,DE
Gschasi Startplatz,https://service.dhv.de/db2/details.php?qi=glp_details&popup=1&item=289,8.128686,48.186185,DE
Weiherkopf Startplatz,https://service.dhv.de/db2/details.php?qi=glp_details&popup=1&item=290,7.778359,47.803544,DE
Sonnhaldeberg Startplatz,https://service.dhv.de/db2/details.php?qi=glp_details&popup=1&item=291,7.826385,47.884938,DE
Drei-Kreis-Eck Startplatz,https://service.dhv.de/db2/details.php?qi=glp_details&popup=1&item=292,8.179626,48.183974,DE
Wieden-Warbach Startplatz,https://service.dhv.de/db2/details.php?qi=glp_details&popup=1&item=293,7.875438,47.833872,DE
Hörnleberg Süd-Startplatz,https://service.dhv.de/db2/details.php?qi=glp_details&popup=1&item=294,8.044444,48.127417,DE
Wittental Startplatz,https://service.dhv.de/db2/details.php?qi=glp_details&popup=1&item=295,7.957672,47.990292,DE
Am Kirchweg Startplatz,https://service.dhv.de/db2/details.php?qi=glp_details&popup=1&item=296,7.997038,47.959121,DE
Hinter Riedern Startplatz,https://service.dhv.de/db2/details.php?qi=glp_details&popup=1&item=299,8.003904,48.116894,DE
Tafelbühl Startplatz,https://service.dhv.de/db2/details.php?qi=glp_details&popup=1&item=300,8.083824,48.127780,DE
Hochblauen Nord,https://service.dhv.de/db2/details.php?qi=glp_details&popup=1&item=301,7.700000,47.778467,DE
Eck Startplatz,https://service.dhv.de/db2/details.php?qi=glp_details&popup=1&item=303,7.918310,47.688214,DE
Ehrsberg Startplatz,https://service.dhv.de/db2/details.php?qi=glp_details&popup=1&item=304,7.907882,47.750809,DE
Fröhnd Schneckenkopf Startplatz,https://service.dhv.de/db2/details.php?qi=glp_details&popup=1&item=308,7.910000,47.770833,DE
Breitmoos Übungshang,https://service.dhv.de/db2/details.php?qi=glp_details&popup=1&item=309,7.861007,47.838288,DE
Hochfirst Startplatz,https://service.dhv.de/db2/details.php?qi=glp_details&popup=1&item=310,8.183506,47.901401,DE
Skilift Stierhütte Übungshang,https://service.dhv.de/db2/details.php?qi=glp_details&popup=1&item=313,8.133470,47.866767,DE
Altglashütten / Kapellenhof Startplatz,https://service.dhv.de/db2/details.php?qi=glp_details&popup=1&item=314,8.103619,47.848936,DE
Hausberg Startplatz,https://service.dhv.de/db2/details.php?qi=glp_details&popup=1&item=316,11.096234,47.465048,DE
Bernau - Innerlehen Startplatz Lehenköpfle,https://service.dhv.de/db2/details.php?qi=glp_details&popup=1&item=317,8.025513,47.798512,DE
Wank Ost und Nordost-Startplatz,https://service.dhv.de/db2/details.php?qi=glp_details&popup=1&item=320,11.143730,47.508316,DE
Osterfelder Ost-Startplatz (Hauptstartplatz),https://service.dhv.de/db2/details.php?qi=glp_details&popup=1&item=321,11.050017,47.438200,DE
Berghalde Übungshang Startplatz,https://service.dhv.de/db2/details.php?qi=glp_details&popup=1&item=326,11.386492,47.756651,DE
Sulzberg Startplatz,https://service.dhv.de/db2/details.php?qi=glp_details&popup=1&item=328,12.062479,47.745092,DE
Heuberg Startplatz,https://service.dhv.de/db2/details.php?qi=glp_details&popup=1&item=329,12.183924,47.725873,DE
Unternberg Bärngschwendt Übungshang Startplatz,https://service.dhv.de/db2/details.php?qi=glp_details&popup=1&item=330,12.630278,47.743250,DE
Froschsee Startplatz,https://service.dhv.de/db2/details.php?qi=glp_details&popup=1&item=333,12.693682,47.757199,DE
Rauschberg Startplatz,https://service.dhv.de/db2/details.php?qi=glp_details&popup=1&item=335,12.685556,47.733056,DE
Unternberg Nord Startplatz,https://service.dhv.de/db2/details.php?qi=glp_details&popup=1&item=336,12.638333,47.728333,DE
Rampoldplatte Startplatz,https://service.dhv.de/db2/details.php?qi=glp_details&popup=1&item=340,12.041667,47.725556,DE
